tag,language,pattern,standard
ART,DE,Art(\.|ikel[sn]?),Art.
PRT,DE,Teil(s|en?)?,Teil
CHP,DE,Kapitel[sn]?,Kap.
TIT,DE,Titel[sn]?,Titel
SEC,DE,Abschnitt(s|en?)?,Abschn.
PAR,DE,Abs(\.|[aä]tz(e[sn]?)?),Abs.
PHR,DE,S[aä]tz(e[sn]?)?,Satz
PHR,EN,subparagraphs?,
LTR,DE,Buchst(\.|aben?),Buchst.
NUM,DE,Nummern?,Num.
DIGIT,DE,Ziffern?,Ziff.
SUBPAR,DE,Unterabs(\.|[aä]tz(e[ns]?)?),Unterabs.
SUB,DE,Unterabschnitt(s|en?)?,Unterabschn.
ANX,DE,Anh[aä]ng(s|en?)?\b,Anhang
DIR,DE,Richtlinien?,Richtlinie
REG,DE,(\bVO\b|(Durchführungsv|V)erordnung(en)?),Verordnung
TRT,DE,Vertr(ags?|ägen?),Vertrag
DEC,DE,(Beschl[uü]sse?s?|Entscheidung(en)?),Beschluss
FDC,DE,Rahmenbeschl[uü]sse?s?,Rahmenbeschluss
REC,DE,Erwägungsgr[uü]nde?,Erwägungsgrund
PRE,DE,Päambeln?,Präambel
PT,EN,points?,point
PG,EN,paragraphs?,paragraph
ART,EN,Articles?,Article
PRE,EN,Preambles?,Preamble
ANX,EN,Annex(es)?\b,Annex
REG,EN,Regulations?,Regulation
DIR,EN,Directives?,Directive
DEC,EN,Decisions?,Decision
FDC,EN,Framework Decisions?,Framework Decision
TRT,EN,Treat(y|ies),Treaty
PRT,EN,Parts?\b,Part
TIT,EN,Titles?,Title
CHP,EN,Chapters?,Chapter
SEC,EN,Sections?,Section
SUB,EN,Sub(-S|s)ections?,Subsection
PRT,ES,Partes?\b,Parte
TIT,ES,Títulos?,Título
CHP,ES,Capítulos?,Capítulo
SEC,ES,Secci(ón|ones),Sección
SUB,ES,Subsecci(ón|ones),Subsección
ART,ES,Artículos?,Art.
ANX,ES,Anexos?,Anexo
PRE,ES,Preámbulos?,Preámbulo
PAR,ES,apartados?,apartado
LTR,ES,letras?,letra
DIR,ES,Directivas?,Directiva
REG,ES,Reglamentos?( de Ejecución| Delegado)?,Reglamento
TRT,ES,Tratados?,Tratado
DEC,ES,Decisi(ón|ones),Decisión
FDC,ES,Decisi(ón|ones) marco,Decisión marco
